140,,REF_C2_Lower_Neck_Undercut_RSK25,1.46,mm,,Number,,,,,,
141,,REF_B1_Lower_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
142,,EQN_C1_Rad1_Tang_Drop,1.2,mm,,Number,,,,,,
143,,REF_C1_Lower_Neck_Undercut_RSK22,1.2,mm,,Number,,,,,,
144,,EQN_Tol_Offset_BSU2,10.816,mm,,Number,,,,,,
145,,REF_C_Lower_Neck_Undercut_RSI2,2.8,mm,,Number,,,,,,
146,,REF_C1_Lower_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
147,,REF_B1_Lower_Neck_Undercut_RSK21,3.2,mm,,Number,,,,,,
148,,REF_B_Lower_Neck_Undercut_RSI2,2.8,mm,,Number,,,,,,
149,,EQN_B1_Lower_Neck_Undercut_RSK22_Ang,28.68540201412,degrees,,Number,,,,,,
150,,LGC_B1_Lower_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
151,,LGC_C1_Lower_Neck_Undercut_BSK2,2.24,mm,,Number,,,,,,
152,,REF_C2_Lower_Neck_Undercut_HSK2,1.8,mm,,Number,,,,,,
153,,REF_C2_Lower_Neck_Undercut_WSK23,20,degrees,,Number,,,,,,
154,,REF_C2_Lower_Neck_Undercut_WSK24,35,degrees,,Number,,,,,,
155,,REF_C2_Lower_Neck_Undercut_WSK25,120,degrees,,Number,,,,,,
156,,XLM_BFZ,26.4,mm,,Number,,,,,,
157,,HT_BCO2,0,mm,,Number,,,,,,
158,,HT_BBO2,0,mm,,Number,,,,,,
159,,EQN_Dvtl_Base_4Hook_Width,13.2,mm,,Number,,,,,,
160,,REF_S4_Hook_Chmf_Ang,45,degrees,,Number,,,,,,
161,,LGC_BBO2,2.45,mm,,Number,,,,,,
162,,REF_Dvtl_4Hook_RSI2,2.8,mm,,Number,,,,,,
163,,HT_BSA2,10.5,mm,,Number,,,,,,
164,,HT_RSA2,1,mm,,Number,,,,,,
165,,HT_HSA2,1,mm,,Number,,,,,,
166,,HT_BSB2,0,mm,,Number,,,,,,
167,,REF_Inboard_RSA2,1,mm,,Number,,,,,,
168,,REF_Outboard_RSA2,1,mm,,Number,,,,,,
169,,EQN_Dvtl_Divot_BSB2,5.94999999999999,mm,,Number,,,,,,
170,,ASP_DBEZ2A,J,,,String,,,,,,
171,,ASP_AKAZ2,2,degrees,,Number,,,,,,
172,,ASP_PSI2,0,degrees,,Number,,,,,,
173,,ASP_WINDP2,13,degrees,,Number,,,,,,
174,,HT_TZB2,9.4,mm,,Number,,,,,,
175,,HT_HZA2,4,mm,,Number,,,,,,
176,,HT_PSI2,0,degrees,,Number,,,,,,
177,,HT_TZA2,0,mm,,Number,,,,,,
178,,HT_DBEZ2A,J,,,String,,,,,,
179,,HT_SCHD2,4.1,mm,,Number,,,,,,
180,,HT_HD2,2.7,mm,,Number,,,,,,
181,,HT_BZA2,5,mm,,Number,,,,,,
182,,HT_CAD2,1.2,mm,,Number,,,,,,
183,,HT_WINDP2,13,degrees,,Number,,,,,,
184,,HT_BD2,26.4,mm,,Number,,,,,,
185,,HT_AKAZ2,2,degrees,,Number,,,,,,
186,,HT_RZA2,1,mm,,Number,,,,,,
187,,LGC_HZA2,4,mm,,Number,,,,,,
188,,LGC_WINDP2,0,degrees,,Number,,,,,,
189,,LGC_PSI2,0,degrees,,Number,,,,,,
190,,LGC_RZA1,0.1,mm,,Number,,,,,,
191,,CON_Shroud_Stock_Rad,0.1,mm,,Number,,,,,,
192,,REF_Shroud_Tooth_Rad_B_J,0.1,mm,,Number,,,,,,
193,,CON_Shroud_Stock,1,mm,,Number,,,,,,
194,,LGC_SCHD2,0,mm,,Number,,,,,,
195,,REF_Shroud_Tooth_Rad_A_L,0.1,mm,,Number,,,,,,
196,,REF_Shroud_Tooth_Rad_E,0.1,mm,,Number,,,,,,
197,,REF_Shroud_Tooth_Rad_F,0.1,mm,,Number,,,,,,
198,,LGC_BD2,26.4,mm,,Number,,,,,,
199,,LGC_CAD2,1.2,mm,,Number,,,,,,
200,,LGC_Shroud_Cly03_BJ_Z,4,mm,,Number,,,,,,
201,,LGC_Shroud_Cly09_BJ_Z,4,mm,,Number,,,,,,
202,,LGC_Shroud_Cly04_E_Z,4,mm,,Number,,,,,,
203,,LKP_Shroud_Cly05_Z,4,mm,,Number,,,,,,
204,,LGC_Shroud_Cly10_BJ_Z,4,mm,,Number,,,,,,
205,,LGC_Shroud_Cly01_F_Z,4,mm,,Number,,,,,,
206,,LGC_Shroud_Cly06_AL_Z,4,mm,,Number,,,,,,
207,,LKP_Shroud_Cly08_Z,4,mm,,Number,,,,,,
208,,LGC_Shroud_Cly09_F_Z,0,mm,,Number,,,,,,
209,,LGC_Shroud_Cly03_E_Z,4,mm,,Number,,,,,,
210,,LGC_Shroud_Cly02_BJ_Z,0,mm,,Number,,,,,,
211,,LGC_Shroud_Cly08_BJ_Z,4,mm,,Number,,,,,,
212,,LGC_Shroud_Cly08_F_Z,0,mm,,Number,,,,,,
213,,LKP_Shroud_Cly01_Z,4,mm,,Number,,,,,,
214,,LGC_Shroud_Cly05_AL_Z,4,mm,,Number,,,,,,
215,,LGC_Shroud_Cly01_BJ_Z,4,mm,,Number,,,,,,
216,,LGC_Shroud_Cly10_E_Z,4,mm,,Number,,,,,,
217,,LGC_Shroud_Cly07_BJ_Z,4,mm,,Number,,,,,,
218,,LKP_Shroud_Cly04_Z,4,mm,,Number,,,,,,
219,,LGC_Shroud_Cly07_F_Z,0,mm,,Number,,,,,,
220,,LGC_Shroud_Cly01_E_Z,0,mm,,Number,,,,,,
221,,LKP_Shroud_Cly10_Z,4,mm,,Number,,,,,,
222,,LGC_Shroud_Cly07_AL_Z,4,mm,,Number,,,,,,
223,,LGC_Shroud_Stock_Radial,1,mm,,Number,,,,,,
224,,LGC_Shroud_Cly04_AL_Z,4,mm,,Number,,,,,,
225,,LGC_Shroud_Cly10_F_Z,0,mm,,Number,,,,,,
226,,LGC_Shroud_Cly06_F_Z,0,mm,,Number,,,,,,
227,,LGC_Shroud_Cly06_BJ_Z,4,mm,,Number,,,,,,
228,,LGC_Shroud_Cly02_E_Z,4,mm,,Number,,,,,,
229,,LGC_Shroud_Cly08_E_Z,4,mm,,Number,,,,,,
230,,LGC_Shroud_Cly10_AL_Z,4,mm,,Number,,,,,,
231,,LKP_Shroud_Cly07_Z,4,mm,,Number,,,,,,
232,,LGC_Shroud_Cly05_F_Z,0,mm,,Number,,,,,,
233,,LGC_Shroud_Cly03_AL_Z,4,mm,,Number,,,,,,
234,,LGC_Shroud_Cly09_AL_Z,4,mm,,Number,,,,,,
235,,LKP_Shroud_Cly03_Z,4,mm,,Number,,,,,,
236,,LGC_Shroud_Cly05_BJ_Z,4,mm,,Number,,,,,,
237,,LGC_Shroud_Cly07_E_Z,4,mm,,Number,,,,,,
238,,LGC_Shroud_Cly04_F_Z,0,mm,,Number,,,,,,
239,,LKP_Shroud_Cly06_Z,4,mm,,Number,,,,,,
240,,LGC_Shroud_Cly09_E_Z,4,mm,,Number,,,,,,
241,,EQN_Shroud_Max_Thick,7.7,mm,,Number,,,,,,
242,,LGC_Shroud_Cly02_AL_Z,4,mm,,Number,,,,,,
243,,LGC_Shroud_Cly08_AL_Z,4,mm,,Number,,,,,,
